"1_A4-format;A4-format;A4-format;;substantiv intetkøn;noun;A4 format;A4 format;;;;"
"1_abbed;abbed;abbed;;substantiv fælleskøn;noun;abbot;abbot;;;;"
"1_abbed;abbed;abbederne;;substantiv fælleskøn flertal bestemt;noun plural definite;abbot;the abbots;;;;"
"1_abbed;abbed;abbeder;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;abbot;abbots;;;;"
"1_abbed;abbed;abbeden;;substantiv fælleskøn ental bestemt;noun singular definite;abbot;the abbot;;;;"
"1_abbedi;abbedi;abbedi;;substantiv intetkøn;noun;abbey;abbey;;;;"
"1_abbedi;abbedi;abbedierne;;substantiv intetkøn flertal bestemt;noun plural definite;abbey;the abbeys;;;;"
"1_abbedi;abbedi;abbedier;;substantiv intetkøn flertal ubestemt;noun plural indefinite;abbey;abbeys;;;;"
"1_abbedi;abbedi;abbediet;;substantiv intetkøn ental bestemt;noun singular definite;abbey;the abbey;;;;"
"1_abbedisse;abbedisse;abbedisse;;substantiv fælleskøn;noun;abbess;abbess;;;;"
"1_abbedisse;abbedisse;abbedisserne;;substantiv fælleskøn flertal bestemt;noun plural definite;abbess;the abbesses;;;;"
"1_abbedisse;abbedisse;abbedisser;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;abbess;abbesses;;;;"
"1_abbedisse;abbedisse;abbedissen;;substantiv fælleskøn ental bestemt;noun singular definite;abbess;the abbess;;;;"
"1_ABC;ABC;ABC;;substantiv fælleskøn;noun;ABC;ABC;;;;"
1_abdicere;abdicere;abdicere;;verbum;verb;abdicate;abdicate;;;;
1_abdicere;abdicere;abdicere;;verbum;verb;abdicate;abdicate;;;;
"1_abdicere;abdicere;abdicerede;;verbum datid;verb past tense;abdicate;abdicated;;;;"
"1_abdicere;abdicere;abdicerer;;verbum nutid;verb present 3rd person singular;abdicate;abdicates;;;;"
"1_abdicere;abdicere;abdicerer;;verbum nutid;verb present non 3rd person;abdicate;abdicate;;;;"
"1_abdikation;abdikation;abdikation;;substantiv fælleskøn;noun;abdication;abdication;;;;"
"1_abdikation;abdikation;abdikationerne;;substantiv fælleskøn flertal bestemt;noun plural definite;abdication;the abdications;;;;"
"1_abdikation;abdikation;abdikationer;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;abdication;abdications;;;;"
"1_abdikation;abdikation;abdikationen;;substantiv fælleskøn ental bestemt;noun singular definite;abdication;the abdication;;;;"
"1_abdomen;abdomen;abdomen;;substantiv intetkøn;noun;abdomen;abdomen;;;;"
"1_abe;abe;abe;;substantiv fælleskøn;noun;ape;ape;;;;"
"1_abe;abe;aberne;;substantiv fælleskøn flertal bestemt;noun plural definite;ape;the apes;;;;"
"1_abe;abe;aber;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;ape;apes;;;;"
"1_abe;abe;aben;;substantiv fælleskøn ental bestemt;noun singular definite;ape;the ape;;;;"
"1_abe;abe;abe;;substantiv fælleskøn;noun;monkey;monkey;;det er en abe.;it's a monkey.;"
"1_abe;abe;aberne;;substantiv fælleskøn flertal bestemt;noun plural definite;monkey;the monkeys;;det er en abe.;it's a monkey.;"
